seed,is_homogeneous,found_breaking_subgroup,subgroups_checked,runtime_sec,valid_rules_count,total_rules_count,pruned_rules_count,rounds_executed,unique_rules_selected,breaking_rule_index,max_rule_pick_count,sweep,exploration_prob,alpha,eta,epsilon
23,True,0,284,3.058547208085656,10,10,0,10,4,,7,exploration_prob,0.3,0.5,0.01,520000.0
24,True,0,285,2.941937791998498,10,10,0,10,4,,7,exploration_prob,0.3,0.5,0.01,520000.0
0,True,0,360,3.5364482919685543,10,10,0,10,1,,10,alpha,0.1,0.25,0.01,520000.0
1,True,0,360,3.538467917009257,10,10,0,10,1,,10,alpha,0.1,0.25,0.01,520000.0
2,True,0,362,3.639087999938056,10,10,0,10,3,,8,alpha,0.1,0.25,0.01,520000.0
3,True,0,360,3.575250208028592,10,10,0,10,1,,10,alpha,0.1,0.25,0.01,520000.0
4,True,0,363,3.544870249927044,10,10,0,10,3,,8,alpha,0.1,0.25,0.01,520000.0
5,True,0,361,3.6169629159849137,10,10,0,10,3,,8,alpha,0.1,0.25,0.01,520000.0
6,True,0,365,3.373570541967638,10,10,0,10,2,,9,alpha,0.1,0.25,0.01,520000.0
7,True,0,363,3.3071048330748454,10,10,0,10,5,,5,alpha,0.1,0.25,0.01,520000.0
8,True,0,355,3.4787092079641297,10,10,0,10,3,,8,alpha,0.1,0.25,0.01,520000.0
9,True,0,358,3.5555958329932764,10,10,0,10,2,,9,alpha,0.1,0.25,0.01,520000.0
10,True,0,360,3.7329989159479737,10,10,0,10,1,,10,alpha,0.1,0.25,0.01,520000.0
11,True,0,360,3.545577749959193,10,10,0,10,1,,10,alpha,0.1,0.25,0.01,520000.0
12,True,0,358,3.7038639170350507,10,10,0,10,2,,9,alpha,0.1,0.25,0.01,520000.0
13,True,0,360,3.574856291990727,10,10,0,10,1,,10,alpha,0.1,0.25,0.01,520000.0
14,True,0,360,3.6559115829877555,10,10,0,10,1,,10,alpha,0.1,0.25,0.01,520000.0
15,True,0,365,3.525255999993533,10,10,0,10,2,,9,alpha,0.1,0.25,0.01,520000.0
16,True,0,349,3.35656345798634,10,10,0,10,2,,9,alpha,0.1,0.25,0.01,520000.0
17,True,0,365,3.3215897500049323,10,10,0,10,2,,9,alpha,0.1,0.25,0.01,520000.0
18,True,0,360,3.496124666999094,10,10,0,10,1,,10,alpha,0.1,0.25,0.01,520000.0
19,True,0,360,3.4865858339471743,10,10,0,10,1,,10,alpha,0.1,0.25,0.01,520000.0
20,True,0,360,3.4032125839730725,10,10,0,10,1,,10,alpha,0.1,0.25,0.01,520000.0
21,True,0,360,3.3105864169774577,10,10,0,10,1,,10,alpha,0.1,0.25,0.01,520000.0
22,True,0,356,3.4183472089935094,10,10,0,10,2,,9,alpha,0.1,0.25,0.01,520000.0
23,True,0,370,4.360662833903916,10,10,0,10,2,,8,alpha,0.1,0.25,0.01,520000.0
24,True,0,365,4.07733266602736,10,10,0,10,2,,9,alpha,0.1,0.25,0.01,520000.0
0,True,0,250,2.925863833981566,10,10,0,10,1,,10,alpha,0.1,0.5,0.01,520000.0
1,True,0,261,2.9792967919493094,10,10,0,10,2,,9,alpha,0.1,0.5,0.01,520000.0
2,True,0,274,3.215847667073831,10,10,0,10,3,,8,alpha,0.1,0.5,0.01,520000.0
3,True,0,261,3.9147267499938607,10,10,0,10,2,,9,alpha,0.1,0.5,0.01,520000.0
4,True,0,275,3.126969916978851,10,10,0,10,3,,8,alpha,0.1,0.5,0.01,520000.0
5,True,0,273,3.048558000009507,10,10,0,10,3,,8,alpha,0.1,0.5,0.01,520000.0
6,True,0,266,3.3640030410606414,10,10,0,10,2,,9,alpha,0.1,0.5,0.01,520000.0
7,True,0,308,4.208509166026488,10,10,0,10,5,,5,alpha,0.1,0.5,0.01,520000.0
8,True,0,267,5.289991749916226,10,10,0,10,3,,8,alpha,0.1,0.5,0.01,520000.0
9,True,0,259,4.301568250055425,10,10,0,10,2,,9,alpha,0.1,0.5,0.01,520000.0
10,True,0,250,4.380141084082425,10,10,0,10,1,,10,alpha,0.1,0.5,0.01,520000.0
11,True,0,250,4.10024529194925,10,10,0,10,1,,10,alpha,0.1,0.5,0.01,520000.0
12,True,0,259,4.615545750013553,10,10,0,10,2,,9,alpha,0.1,0.5,0.01,520000.0
13,True,0,250,4.210519875050522,10,10,0,10,1,,10,alpha,0.1,0.5,0.01,520000.0
14,True,0,250,3.7826305410126224,10,10,0,10,1,,10,alpha,0.1,0.5,0.01,520000.0
15,True,0,277,3.7814950000029057,10,10,0,10,3,,8,alpha,0.1,0.5,0.01,520000.0
16,True,0,250,3.9420489999465644,10,10,0,10,1,,10,alpha,0.1,0.5,0.01,520000.0
17,True,0,266,3.694887417019345,10,10,0,10,2,,9,alpha,0.1,0.5,0.01,520000.0
18,True,0,250,3.7248739999486133,10,10,0,10,1,,10,alpha,0.1,0.5,0.01,520000.0
19,True,0,250,3.324066707980819,10,10,0,10,1,,10,alpha,0.1,0.5,0.01,520000.0
20,True,0,250,3.122249708045274,10,10,0,10,1,,10,alpha,0.1,0.5,0.01,520000.0
21,True,0,250,3.4838507500244305,10,10,0,10,1,,10,alpha,0.1,0.5,0.01,520000.0
22,True,0,257,3.4492623331025243,10,10,0,10,2,,9,alpha,0.1,0.5,0.01,520000.0
23,True,0,282,3.5804576670052484,10,10,0,10,2,,8,alpha,0.1,0.5,0.01,520000.0
24,True,0,266,3.644549750024453,10,10,0,10,2,,9,alpha,0.1,0.5,0.01,520000.0
0,True,0,250,3.5476456669857726,10,10,0,10,1,,10,alpha,0.1,0.75,0.01,520000.0
1,True,0,261,3.3853723340434954,10,10,0,10,2,,9,alpha,0.1,0.75,0.01,520000.0
2,True,0,274,3.6232799580320716,10,10,0,10,3,,8,alpha,0.1,0.75,0.01,520000.0
3,True,0,261,3.3607676250394434,10,10,0,10,2,,9,alpha,0.1,0.75,0.01,520000.0
4,True,0,275,3.154782290919684,10,10,0,10,3,,8,alpha,0.1,0.75,0.01,520000.0
5,True,0,273,2.9984504589810967,10,10,0,10,3,,8,alpha,0.1,0.75,0.01,520000.0
6,True,0,266,3.0485693749506027,10,10,0,10,2,,9,alpha,0.1,0.75,0.01,520000.0
7,True,0,308,3.424168459023349,10,10,0,10,5,,5,alpha,0.1,0.75,0.01,520000.0
8,True,0,267,3.1662599589908496,10,10,0,10,3,,8,alpha,0.1,0.75,0.01,520000.0
9,True,0,259,3.2694507921114564,10,10,0,10,2,,9,alpha,0.1,0.75,0.01,520000.0
10,True,0,250,3.1023052079835907,10,10,0,10,1,,10,alpha,0.1,0.75,0.01,520000.0
11,True,0,250,3.101742042112164,10,10,0,10,1,,10,alpha,0.1,0.75,0.01,520000.0
12,True,0,259,3.1383184579899535,10,10,0,10,2,,9,alpha,0.1,0.75,0.01,520000.0
13,True,0,250,3.39080766600091,10,10,0,10,1,,10,alpha,0.1,0.75,0.01,520000.0
14,True,0,250,3.183914166991599,10,10,0,10,1,,10,alpha,0.1,0.75,0.01,520000.0
15,True,0,277,3.580395874916576,10,10,0,10,3,,8,alpha,0.1,0.75,0.01,520000.0
16,True,0,250,3.7619964169571176,10,10,0,10,1,,10,alpha,0.1,0.75,0.01,520000.0
17,True,0,266,3.528356749913655,10,10,0,10,2,,9,alpha,0.1,0.75,0.01,520000.0
18,True,0,250,3.9773001670837402,10,10,0,10,1,,10,alpha,0.1,0.75,0.01,520000.0
19,True,0,250,3.3370151669951156,10,10,0,10,1,,10,alpha,0.1,0.75,0.01,520000.0
20,True,0,250,3.2310057500144467,10,10,0,10,1,,10,alpha,0.1,0.75,0.01,520000.0
21,True,0,250,3.510255333967507,10,10,0,10,1,,10,alpha,0.1,0.75,0.01,520000.0
22,True,0,257,2.955095416982658,10,10,0,10,2,,9,alpha,0.1,0.75,0.01,520000.0
23,True,0,282,3.481640624930151,10,10,0,10,2,,8,alpha,0.1,0.75,0.01,520000.0
24,True,0,266,3.40835441602394,10,10,0,10,2,,9,alpha,0.1,0.75,0.01,520000.0
0,True,0,250,2.961283083073795,10,10,0,10,1,,10,eta,0.1,0.5,0.001,520000.0
1,True,0,261,3.0203427500091493,10,10,0,10,2,,9,eta,0.1,0.5,0.001,520000.0
2,True,0,274,2.8849654169753194,10,10,0,10,3,,8,eta,0.1,0.5,0.001,520000.0
3,True,0,261,2.9408319579670206,10,10,0,10,2,,9,eta,0.1,0.5,0.001,520000.0
4,True,0,275,2.8603380830027163,10,10,0,10,3,,8,eta,0.1,0.5,0.001,520000.0
5,True,0,273,2.978768707951531,10,10,0,10,3,,8,eta,0.1,0.5,0.001,520000.0
6,True,0,266,3.0028259169775993,10,10,0,10,2,,9,eta,0.1,0.5,0.001,520000.0
7,True,0,308,3.170075166039169,10,10,0,10,5,,5,eta,0.1,0.5,0.001,520000.0
8,True,0,267,2.824122541001998,10,10,0,10,3,,8,eta,0.1,0.5,0.001,520000.0
9,True,0,259,3.09234891703818,10,10,0,10,2,,9,eta,0.1,0.5,0.001,520000.0
10,True,0,250,2.9713472090661526,10,10,0,10,1,,10,eta,0.1,0.5,0.001,520000.0
11,True,0,250,2.8983324581058696,10,10,0,10,1,,10,eta,0.1,0.5,0.001,520000.0
12,True,0,259,3.843937375000678,10,10,0,10,2,,9,eta,0.1,0.5,0.001,520000.0
13,True,0,250,3.7817849590210244,10,10,0,10,1,,10,eta,0.1,0.5,0.001,520000.0
14,True,0,250,3.1403764160349965,10,10,0,10,1,,10,eta,0.1,0.5,0.001,520000.0
15,True,0,277,3.799582957988605,10,10,0,10,3,,8,eta,0.1,0.5,0.001,520000.0
16,True,0,250,3.7011509159347042,10,10,0,10,1,,10,eta,0.1,0.5,0.001,520000.0
17,True,0,266,4.279680375009775,10,10,0,10,2,,9,eta,0.1,0.5,0.001,520000.0
18,True,0,250,4.105846457998268,10,10,0,10,1,,10,eta,0.1,0.5,0.001,520000.0
19,True,0,250,3.5511263329535723,10,10,0,10,1,,10,eta,0.1,0.5,0.001,520000.0
20,True,0,250,2.8788940409431234,10,10,0,10,1,,10,eta,0.1,0.5,0.001,520000.0
21,True,0,250,2.901856332900934,10,10,0,10,1,,10,eta,0.1,0.5,0.001,520000.0
22,True,0,257,3.0123633339535445,10,10,0,10,2,,9,eta,0.1,0.5,0.001,520000.0
23,True,0,282,3.7553436249727383,10,10,0,10,2,,8,eta,0.1,0.5,0.001,520000.0
24,True,0,266,3.467333124950528,10,10,0,10,2,,9,eta,0.1,0.5,0.001,520000.0
0,True,0,250,3.801980207907036,10,10,0,10,1,,10,eta,0.1,0.5,0.01,520000.0
1,True,0,261,3.428223292110488,10,10,0,10,2,,9,eta,0.1,0.5,0.01,520000.0
2,True,0,274,3.332352666067891,10,10,0,10,3,,8,eta,0.1,0.5,0.01,520000.0
3,True,0,261,3.2871978749753907,10,10,0,10,2,,9,eta,0.1,0.5,0.01,520000.0
4,True,0,275,3.384929042076692,10,10,0,10,3,,8,eta,0.1,0.5,0.01,520000.0
5,True,0,273,3.5631881669396535,10,10,0,10,3,,8,eta,0.1,0.5,0.01,520000.0
6,True,0,266,3.131755333044566,10,10,0,10,2,,9,eta,0.1,0.5,0.01,520000.0
7,True,0,308,3.369753208011389,10,10,0,10,5,,5,eta,0.1,0.5,0.01,520000.0
8,True,0,267,3.041368457954377,10,10,0,10,3,,8,eta,0.1,0.5,0.01,520000.0
9,True,0,259,3.109960750094615,10,10,0,10,2,,9,eta,0.1,0.5,0.01,520000.0
10,True,0,250,3.0303810000186786,10,10,0,10,1,,10,eta,0.1,0.5,0.01,520000.0
11,True,0,250,3.1251700420398265,10,10,0,10,1,,10,eta,0.1,0.5,0.01,520000.0
12,True,0,259,2.893470917013474,10,10,0,10,2,,9,eta,0.1,0.5,0.01,520000.0
13,True,0,250,3.084817082970403,10,10,0,10,1,,10,eta,0.1,0.5,0.01,520000.0
14,True,0,250,3.299099959083833,10,10,0,10,1,,10,eta,0.1,0.5,0.01,520000.0
15,True,0,277,3.393308375030756,10,10,0,10,3,,8,eta,0.1,0.5,0.01,520000.0
16,True,0,250,3.219033500063233,10,10,0,10,1,,10,eta,0.1,0.5,0.01,520000.0
17,True,0,266,2.9728197500808164,10,10,0,10,2,,9,eta,0.1,0.5,0.01,520000.0
18,True,0,250,3.035227791988291,10,10,0,10,1,,10,eta,0.1,0.5,0.01,520000.0
19,True,0,250,2.9934540420072153,10,10,0,10,1,,10,eta,0.1,0.5,0.01,520000.0
20,True,0,250,2.912886624922976,10,10,0,10,1,,10,eta,0.1,0.5,0.01,520000.0
21,True,0,250,2.833621709025465,10,10,0,10,1,,10,eta,0.1,0.5,0.01,520000.0
22,True,0,257,2.812225874979049,10,10,0,10,2,,9,eta,0.1,0.5,0.01,520000.0
23,True,0,282,3.0337964579230174,10,10,0,10,2,,8,eta,0.1,0.5,0.01,520000.0
24,True,0,266,2.935975082917139,10,10,0,10,2,,9,eta,0.1,0.5,0.01,520000.0
0,True,0,250,3.011706457938999,10,10,0,10,1,,10,eta,0.1,0.5,0.1,520000.0
1,True,0,261,3.0011767499381676,10,10,0,10,2,,9,eta,0.1,0.5,0.1,520000.0
2,True,0,274,2.7958517499500886,10,10,0,10,3,,8,eta,0.1,0.5,0.1,520000.0
3,True,0,261,3.005310207954608,10,10,0,10,2,,9,eta,0.1,0.5,0.1,520000.0
4,True,0,275,3.081899292068556,10,10,0,10,3,,8,eta,0.1,0.5,0.1,520000.0
5,True,0,273,2.8531244999030605,10,10,0,10,3,,8,eta,0.1,0.5,0.1,520000.0
